dt,Cooling,Heating,Heating_viz,Net_Cooling,Hour
1900-10-30 00:00:00,2.2547889481453845e-12,32095.943617192377,-32095.943617192377,-32095.943617192373,0
1900-10-30 01:00:00,3.4485007442223528e-12,35296.933573764036,-35296.933573764036,-35296.933573764036,1
1900-10-30 02:00:00,3.524291969370097e-12,37081.57073833004,-37081.57073833004,-37081.57073833004,2
1900-10-30 03:00:00,1.9705718538413444e-12,38383.80325433707,-38383.80325433707,-38383.80325433707,3
1900-10-30 04:00:00,2.6337450738841044e-12,38245.311621936584,-38245.311621936584,-38245.311621936584,4
1900-10-30 05:00:00,2.2737367544323206e-12,27102.23305792696,-27102.23305792696,-27102.233057926955,5
1900-10-30 06:00:00,1.0800249583553523e-12,19376.280285717257,-19376.280285717257,-19376.280285717257,6
1900-10-30 07:00:00,2.2105774001425343e-14,499.157322076384,-499.157322076384,-499.157322076384,7
1900-10-30 08:00:00,904.3967410370765,17070.75704403588,-17070.75704403588,-16166.360302998803,8
1900-10-30 09:00:00,11206.662496965624,16279.239525247953,-16279.239525247953,-5072.577028282329,9
1900-10-30 10:00:00,41074.84055785954,5.204330793478423e-12,-5.204330793478423e-12,41074.840557859534,10
1900-10-30 11:00:00,68864.69740403989,5.0401164723249776e-12,-5.0401164723249776e-12,68864.69740403989,11
1900-10-30 12:00:00,77362.98120650055,7.275957614183426e-12,-7.275957614183426e-12,77362.98120650055,12
1900-10-30 13:00:00,88455.42742745795,1.2865560468829546e-11,-1.2865560468829546e-11,88455.42742745794,13
1900-10-30 14:00:00,67727.1634874733,1.1027623258996755e-11,-1.1027623258996755e-11,67727.16348747328,14
1900-10-30 15:00:00,98441.37889866781,3.542292385342686e-12,-3.542292385342686e-12,98441.37889866781,15
1900-10-30 16:00:00,67062.38823149272,4.5285257025777055e-12,-4.5285257025777055e-12,67062.38823149272,16
1900-10-30 17:00:00,24732.545119929306,1.4116115683767323e-12,-1.4116115683767323e-12,24732.545119929306,17
1900-10-30 18:00:00,21508.423989076193,287.68930230792785,-287.68930230792785,21220.734686768265,18
1900-10-30 19:00:00,18087.717006119663,663.0202236801341,-663.0202236801341,17424.69678243953,19
1900-10-30 20:00:00,17665.218792572632,801.8615351443966,-801.8615351443966,16863.357257428237,20
1900-10-30 21:00:00,5831.608008078423,2070.268522320512,-2070.268522320512,3761.339485757911,21
1900-10-30 22:00:00,477.36310432345294,3179.891130642472,-3179.891130642472,-2702.528026319019,22
1900-10-30 23:00:00,26.9534638872338,3676.517969099738,-3676.517969099738,-3649.564505212504,23
